meterName;armSkuName;tier;size;family;MemoryPreservingMaintenanceSupported;HyperVGenerations;CpuArchitectureType;LowPriorityCapable;PremiumIO;ACUs;EphemeralOSDiskSupported;EncryptionAtHostSupported;CapacityReservationSupported;AcceleratedNetworkingEnabled;RdmaEnabled;MaxNetworkInterfaces;UltraSSDAvailable;unit;os;unitPricePerUnit
D13 v2/DS13 v2;Standard_D13_v2;Standard;D13_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Windows;0,7293
DC48s_v3;Standard_DC48s_v3;Standard;DC48s_v3;standardDCSv3Family;TRUE;V2;x64;TRUE;TRUE;null;FALSE;TRUE;FALSE;TRUE;FALSE;8;FALSE;10;Linux;3,7128
D48 v4;Standard_D48_v4;Standard;D48_v4;standardDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;FALSE;TRUE;TRUE;FALSE;8;null;10;Linux;1,8564
A2 Low Priority;Standard_A2;Standard;A2;standardA0_A7Family;TRUE;V1;x64;FALSE;FALSE;100;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Linux;0,01651
D1 v2/DS1 v2 Low Priority;Standard_D1_v2;Standard;D1_v2;standardDv2Family;TRUE;V1;x64;TRUE;FALSE;210;FALSE;FALSE;TRUE;TRUE;FALSE;2;null;100;Windows;0,00962
D1/DS1 Low Priority;Standard_D1;Standard;D1;standardDFamily;TRUE;V1;x64;TRUE;FALSE;160;FALSE;FALSE;FALSE;FALSE;FALSE;2;null;100;Linux;0,0104
L48as v3;Standard_L48as_v3;Standard;L48as_v3;standardLASv3Family;TRUE;V1,V2;x64;TRUE;TRUE;null;TRUE;TRUE;TRUE;TRUE;FALSE;8;FALSE;10;Linux;2,8509
M64ds_v2 Low Priority;Standard_M64ds_v2;Standard;M64ds_v2;standardMDSMediumMemoryv2Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;1,1973
E2d v4 Low Priority;Standard_E2d_v4;Standard;E2d_v4;standardEDv4Family;TRUE;V1,V2;x64;TRUE;FALSE;195;FALSE;TRUE;TRUE;TRUE;FALSE;2;null;1000;Linux;0,022373
DC64as v5;Standard_DC64as_v5;Standard;DC64as_v5;standardDCASv5Family;TRUE;V1,V2;x64;TRUE;TRUE;230;FALSE;TRUE;FALSE;FALSE;FALSE;8;TRUE;10;Windows;4,4889
M128s Low Priority;Standard_M128s;Standard;M128s;standardMSFamily;FALSE;V1,V2;x64;TRUE;TRUE;160;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;10;Linux;2,3959
NC96ads_A100_v4;Standard_NC96ads_A100_v4;Standard;NC96ads_A100_v4;StandardNCADSA100v4Family;FALSE;V2;x64;TRUE;TRUE;null;TRUE;TRUE;FALSE;TRUE;FALSE;8;TRUE;1;Windows;16,237
