armSkuName;numberOfCores;osDiskSizeInMB;memoryInMB;maxDataDiskCount;meterName
Standard_B2ms;2;1047552;8192;4;B2ms
Standard_B2ms;2;1047552;8192;4;B2ms
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_B8ms;8;1047552;32768;16;B8ms
Standard_F2s_v2;2;1047552;4096;4;F2s v2 Spot
Standard_F2s_v2;2;1047552;4096;4;F2s v2 Spot
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4_v5;4;1047552;16384;8;D4 v5 Spot
Standard_D4_v5;4;1047552;16384;8;D4 v5 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_A8m_v2;8;1047552;65536;16;A8m v2
Standard_D8ds_v5;8;1047552;32768;16;D8ds v5 Low Priority
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_D2s_v3;2;1047552;8192;4;D2s v3
Standard_D2s_v3;2;1047552;8192;4;D2s v3
Standard_D2s_v3;2;1047552;8192;4;D2s v3
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_B16ms;16;1047552;65536;32;B16ms
Standard_B16ms;16;1047552;65536;32;B16ms
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_M32ts;32;1047552;196608;32;M32ts Spot
Standard_E4_v3;4;1047552;32768;8;E4 v3/E4s v3 Low Priority
Standard_E4s_v3;4;1047552;32768;8;E4s v3 Low Priority
Standard_E4ds_v4;4;1047552;32768;8;E4ds v4 Low Priority
Standard_E4ds_v4;4;1047552;32768;8;E4ds v4 Low Priority
Standard_E4ds_v4;4;1047552;32768;8;E4ds v4 Low Priority
Standard_E4ds_v4;4;1047552;32768;8;E4ds v4 Low Priority
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_E2s_v3;2;1047552;16384;4;E2s v3
Standard_E2s_v3;2;1047552;16384;4;E2s v3
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_D14_v2;16;1047552;114688;64;D14 v2/DS14 v2
Standard_D14_v2;16;1047552;114688;64;D14 v2/DS14 v2
Standard_D14_v2;16;1047552;114688;64;D14 v2/DS14 v2
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D4ds_v4;4;1047552;16384;8;D4ds v4
Standard_D2s_v3;2;1047552;8192;4;D2s v3
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_E8s_v3;8;1047552;65536;16;E8s v3
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D4ds_v5;4;1047552;16384;8;D4ds v5
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_B8ms;8;1047552;32768;16;B8ms
Standard_B8ms;8;1047552;32768;16;B8ms
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_F4s_v2;4;1047552;8192;8;F4s v2 Low Priority
Standard_B4ms;4;1047552;16384;8;B4ms
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D8s_v3;8;1047552;32768;16;D8s v3 Low Priority
Standard_D4s_v3;4;1047552;16384;8;D4s v3 Spot
Standard_F8s_v2;8;1047552;16384;16;F8s v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
Standard_DS4_v2;8;1047552;28672;32;DS4 v2 Spot
